image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
frame_0014.png,history_modal,2026/05/27 03:09:40,#476,476K,,#509,549,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476k]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40"
frame_0014.png,history_modal,2026/05/27 04:37:22,#440,GoDs,PmP,#480,249,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#440[GoDs]が#480[PmP]領有中のLV.1都市 #480(249,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 04:37:22"
frame_0014.png,history_modal,2026/05/27 10:36:13,#523,50U,,#511,149,249,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[50Uが#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 10:36:13"
frame_0014.png,history_modal,2026/05/27 12:01:56,#503,GX99,FHX,#509,749,549,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#503[GX99]が#509[FHX]領有中のLV.2都市 #509(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:01:56"
frame_0015.png,history_modal,2026/05/27 03:09:40,#476,476K,,#509,549,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40"
frame_0015.png,history_modal,2026/05/27 10:36:13,#523,5DU,,#511,149,249,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[5DU]が#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 10:36:13"
frame_0015.png,history_modal,2026/05/27 12:01:52,#440,GoDs,BgNa,#480,349,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#440[GoDs]が#480[BgNa]領有中のLV.1都市 #480(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:01:52"
frame_0016.png,history_modal,2026/05/27 10:36:13,#523,5DU,,#511,149,249,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[5DUが#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 10:36:13"
frame_0016.png,history_modal,2026/05/27 12:01:52,#440,GoDs,BgNa,#480,349,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#440[GoDs]が#480[BgNa]領有中のLV.1都市 #480(349,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-5-27 12:01:52"
frame_0016.png,history_modal,2026/05/27 12:02:34,#503,Bye,FHX,#509,849,549,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#503[Bye]が#509[FHX]領有中のLV.1都市 #509(849,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:02:34"
frame_0017.png,history_modal,2026/05/27 12:03:31,#476,476X,DaNG,#511,549,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLv.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:03:31"
frame_0018.png,history_modal,2026/05/27 12:02:34,#503,Bye,FHX,#509,849,549,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#503[Bye]が#509[FHX]領有中のLV.1都市 #509(849,549)を攻撃し、陣営のために破壊宝箱＊2を勝 ち取りました 2026-5-27 12:02:34"
frame_0019.png,history_modal,2026/05/27 12:02:34,#503,Bye,FHX,#509,849,549,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#503[Bye]が#509[FHX]領有中のLV.1都市 #509(849,549)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-5-27 12:02:34"
frame_0019.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38"
frame_0020.png,history_modal,2026/05/27 12:06:12,#476,476X,DaNG,#511,649,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12"
